"","year","id","age","t","coll","nchild","nchildA","agey","Xt","Xf","Xp","wage","earn","husb","outmarr","outsplit","outn","outh","flag"
"1464","2010",125,45,24,1,0,2,NA,23,21,2,27.7800006866455,80000,0,1,0,0,2,-1
"1465","2011",125,46,25,1,0,2,NA,24,22,2,21.9047249391032,46531.2284663842,1,0,0,0,2,-1
"1466","2012",125,47,26,1,0,2,NA,25,23,2,27.3336926475743,51375.5641001071,1,0,0,0,2,-1
"1467","2013",125,48,27,1,0,2,NA,26,24,2,21.6008170540552,43993.6640667591,1,0,0,0,2,-1
"1468","2014",125,49,28,1,0,2,NA,27,25,2,24.5010884832969,44212.4898621249,1,0,0,0,2,-1
"1469","2015",125,50,29,1,0,2,NA,28,26,2,21.628881862093,45080.0744250412,1,0,0,0,2,-1
"1470","2016",125,51,30,1,0,2,NA,29,27,2,24.5669269631145,47244.0887140792,1,0,0,0,2,-1
"1471","2017",125,52,31,1,0,2,NA,30,28,2,44.4794386422977,48037.7937336815,1,0,0,0,1,-1
"1472","2018",125,53,32,1,0,2,NA,31,28,3,23.4809640497327,30393.2586506947,1,0,0,0,2,-1
"1473","2001",126,36,15,1,0,0,NA,14,7,7,NA,NA,1,0,0,0,2,-1
"1474","2002",126,37,16,1,0,0,NA,15,8,7,10.1331188723536,NA,1,0,0,0,1,-1
"1475","2003",126,38,17,1,0,0,NA,16,8,8,11.8239968451149,NA,1,0,0,0,2,-1
"1476","2004",126,39,18,1,0,0,NA,17,9,8,25.014682565571,NA,1,0,0,0,2,-1
"1477","2005",126,40,19,1,0,0,NA,18,10,8,24.1554413328607,NA,1,0,0,0,2,-1
"1478","2006",126,41,20,1,0,0,NA,19,11,8,24.3366071428571,NA,1,0,0,0,2,-1
"1479","2007",126,42,21,1,0,0,NA,20,12,8,24.0384615384615,70000,1,0,0,0,2,-1
"1480","2008",126,43,22,1,0,0,NA,21,13,8,25.8361871869368,70895.0641653855,1,0,0,0,2,-1
"1481","2009",126,44,23,1,0,0,NA,22,14,8,26.4137932698601,99607.4709723731,1,0,1,0,2,-1
"1482","2010",126,45,24,1,0,0,NA,23,15,8,27.0300006866455,1e+05,0,0,0,0,2,-1
"1483","2003",127,38,17,0,2,2,12,16,16,0,6.65099822537711,NA,0,0,0,0,2,-1
"1484","2004",127,39,18,0,2,2,13,17,17,0,7.89572828625042,36939.0788777131,0,0,0,0,1,-1
"1485","2005",127,40,19,0,2,2,14,18,17,1,18.7875654811139,44660.7270865335,0,0,0,0,2,-1
"1486","2006",127,41,20,0,1,2,15,19,18,1,13.2499305555556,54081.3492063492,0,0,0,0,1,-1
"1487","2007",127,42,21,0,1,2,16,20,18,2,NA,65000,0,0,0,0,0,-1
"1488","2008",127,43,22,0,1,2,17,20,18,2,NA,75958.9973200559,0,0,0,0,0,-1
"1489","2000",128,35,14,0,1,1,8,7,3,4,NA,NA,1,0,0,0,0,-1
"1490","2001",128,36,15,0,1,1,9,7,3,4,17.7585458020241,NA,1,0,1,0,2,-1
"1491","2002",128,37,16,0,1,1,10,8,4,4,17.4784187695184,NA,0,0,0,0,2,-1
"1492","2003",128,38,17,0,1,1,11,9,5,4,NA,NA,0,0,0,0,2,-1
"1493","2004",128,39,18,0,1,1,12,10,6,4,17.4768020903313,NA,0,0,0,0,1,-1
"1494","2005",128,40,19,0,1,1,13,11,6,5,19.8611406514632,NA,0,0,0,0,2,-1
"1495","2006",128,41,20,0,1,1,14,12,7,5,19.7505089777235,NA,0,0,0,0,2,-1
"1496","2007",128,42,21,0,1,1,15,13,8,5,23.8461538461538,NA,0,0,0,0,2,-1
"1497","2008",128,43,22,0,1,1,16,14,9,5,54.568944756501,NA,0,0,0,0,1,-1
"1498","2009",128,44,23,0,1,1,17,15,9,6,NA,NA,0,0,0,0,0,-1
"1499","2010",128,45,24,0,0,1,NA,15,9,6,NA,NA,0,0,0,0,0,-1
"1500","2011",128,46,25,0,0,1,NA,15,9,6,NA,NA,0,0,0,0,0,-1
"1501","2012",128,47,26,0,0,1,NA,15,9,6,4.36883184754201,NA,0,0,0,0,1,-1
"1502","2013",128,48,27,0,0,1,NA,16,9,7,15.6005900945954,NA,0,0,0,0,1,-1
"1503","2014",128,49,28,0,0,1,NA,17,9,8,27.8538684023171,NA,0,0,0,0,2,-1
"1504","2015",128,50,29,0,0,1,NA,18,10,8,34.5000569579397,NA,0,0,0,0,2,-1
"1505","2016",128,51,30,0,0,1,NA,19,11,8,36.9139879791378,NA,0,0,0,0,2,-1
"1506","2017",128,52,31,0,0,1,NA,20,12,8,32.3141220905581,NA,0,0,0,0,2,-1
"1507","2018",128,53,32,0,0,1,NA,21,13,8,16.698924283998,NA,0,0,0,0,2,-1
"1508","2001",129,36,15,0,2,2,3,12,12,0,NA,NA,0,1,0,0,2,-1
"1509","2002",129,37,16,0,2,2,4,13,13,0,11.7573271729245,NA,1,0,0,0,2,-1
"1510","2003",129,38,17,0,2,2,5,14,14,0,10.2555602006689,66364.8695652174,1,0,0,1,2,-1
"1511","2004",129,39,18,0,3,3,0,15,15,0,12.0052001949086,63489.0418210694,1,0,0,0,2,-1
"1512","2005",129,40,19,0,3,3,1,16,16,0,9.66217653314428,79272.790578597,1,0,0,0,2,-1
"1513","2006",129,41,20,0,3,3,2,17,17,0,11.3570833333333,77768.9801587302,1,0,0,0,2,-1
"1514","2007",129,42,21,0,2,3,3,18,18,0,12.3076923076923,43000,1,0,0,0,2,-1
"1515","2008",129,43,22,0,2,3,4,19,19,0,15.3234618419368,58741.6245941766,1,0,0,0,2,-1
"1516","2009",129,44,23,0,2,3,5,20,20,0,17.1029311422344,56918.554841356,1,0,0,0,2,-1
"1517","2010",129,45,24,0,2,3,6,21,21,0,4.28999996185303,56000,1,0,0,0,2,-1
"1518","2011",129,46,25,0,2,3,7,22,22,0,16.7780871873982,56225.2343968809,1,0,0,0,2,-1
"1519","2012",129,47,26,0,2,3,8,23,23,0,16.829499770346,56035.0183367161,1,0,0,0,2,-1
"1520","2013",129,48,27,0,2,3,9,24,24,0,16.2006127905414,47737.805689462,1,0,0,0,2,-1
"1521","2014",129,49,28,0,2,3,10,25,25,0,16.8928556420346,50660.1446336848,1,0,0,0,2,-1
"1522","2015",129,50,29,0,2,3,11,26,26,0,22.4102934085762,64400.1063214875,1,0,0,0,1,-1
"1523","2016",129,51,30,0,1,3,12,27,26,1,22.5681379012808,63597.8117304912,1,0,0,0,1,-1
"1524","2017",129,52,31,0,1,3,13,28,26,2,9.97936123384883,66719.1579634465,1,0,0,0,2,-1
"1525","2018",129,53,32,0,1,3,14,29,27,2,9.93425332029797,65128.4113943458,1,0,0,0,2,-1
"1526","2013",130,47,26,0,1,2,15,1,0,1,11.7004425709466,149765.664908116,1,0,0,0,2,-1
"1527","2014",130,48,27,0,1,2,16,2,1,1,12.5545050391767,147374.966207083,1,0,0,0,2,-1
"1528","2015",130,49,28,0,1,2,17,3,2,1,11.0577105634422,138000.227831759,1,0,0,0,2,-1
"1529","2016",130,50,29,0,0,2,NA,4,3,1,10.9206532301896,168079.931002012,1,0,0,0,2,-1
"1530","2017",130,51,30,0,0,2,NA,5,4,1,11.9752334806186,177917.754569191,1,0,0,0,2,-1
"1531","2018",130,52,31,0,0,2,NA,6,5,1,19.0001278220047,186701.445997125,1,0,0,0,2,-1
"1532","2005",131,39,18,1,2,2,15,17,17,0,16.8193443354734,NA,0,0,0,0,2,-1
"1533","2006",131,40,19,1,2,2,16,18,18,0,23.1143695585311,36775.3174603175,0,0,0,0,2,-1
"1534","2007",131,41,20,1,1,2,17,19,19,0,16.5680473372781,NA,0,0,0,0,2,-1
"1535","2008",131,42,21,1,0,2,NA,20,20,0,17.1059655783207,NA,0,0,0,0,2,-1
"1536","2009",131,43,22,1,0,2,NA,21,21,0,20.7189794408782,NA,0,0,0,0,2,-1
"1537","2010",131,44,23,1,0,2,NA,22,22,0,21.1499996185303,NA,0,0,0,0,2,-1
"1538","2011",131,45,24,1,0,2,NA,23,23,0,29.8277105553745,NA,0,0,0,0,2,-1
"1539","2012",131,46,25,1,0,2,NA,24,24,0,38.0088382963758,NA,0,0,0,0,2,-1
"1540","2013",131,47,26,1,0,2,NA,25,25,0,25.2009532297311,NA,0,0,0,0,2,-1
"1541","2014",131,48,27,1,0,2,NA,26,26,0,26.0116813247286,NA,0,0,0,0,2,-1
"1542","2015",131,49,28,1,0,2,NA,27,27,0,26.8923520902915,NA,0,0,0,0,2,-1
"1543","2016",131,50,29,1,0,2,NA,28,28,0,27.7922438648569,NA,0,0,0,0,2,-1
"1544","2017",131,51,30,1,0,2,NA,29,29,0,27.3719622414139,NA,0,0,0,0,2,-1
"1545","2018",131,52,31,1,0,2,NA,30,30,0,28.9430676136964,NA,0,0,0,0,2,-1
"1546","2007",132,41,20,0,1,2,16,17,14,3,NA,NA,0,0,0,0,2,-1
"1547","2008",132,42,21,0,1,2,17,18,15,3,NA,NA,0,0,0,0,0,-1
"1548","2009",132,43,22,0,0,2,NA,18,15,3,8.73471126192685,NA,0,0,0,0,1,-1
"1549","2010",132,44,23,0,0,2,NA,19,15,4,9.1899995803833,NA,0,0,0,0,1,-1
"1550","2011",132,45,24,0,0,2,NA,20,15,5,6.9242899503548,NA,0,0,0,0,2,-1
"1551","2012",132,46,25,0,0,2,NA,21,16,5,18.1781392671811,NA,0,0,0,0,1,-1
"1552","2013",132,47,26,0,0,2,NA,22,16,6,7.20027235135174,29017.0975759475,0,0,0,0,2,-1
"1553","2014",132,48,27,0,0,2,NA,23,17,6,9.12803682890348,25214.0145309543,0,1,0,0,2,-1
"1554","2015",132,49,28,0,0,2,NA,24,18,6,12.3214489135499,NA,1,0,0,0,1,-1
"1555","2016",132,50,29,0,0,2,NA,25,18,7,16.0539048304272,NA,1,0,1,0,1,-1
"1556","2017",132,51,30,0,0,2,NA,26,18,8,6.84299056035348,NA,0,0,0,0,2,-1
"1557","2018",132,52,31,0,0,2,NA,27,19,8,7.65041775617541,NA,0,0,0,0,2,-1
"1558","2005",133,39,18,0,2,2,5,17,17,0,16.1036275552405,NA,1,0,0,0,2,-1
"1559","2006",133,40,19,0,2,2,6,18,18,0,19.81540601912,NA,1,0,0,0,1,-1
"1560","2007",133,41,20,0,2,2,7,19,18,1,13.4615384615385,NA,1,0,0,0,2,-1
"1561","2008",133,42,21,0,2,2,8,20,19,1,17.7237660413464,NA,1,0,0,0,2,-1
"1562","2009",133,43,22,0,2,2,9,21,20,1,16.614275966742,NA,1,0,0,0,2,-1
"1563","2010",133,44,23,0,2,2,10,22,21,1,18.0699996948242,NA,1,0,0,0,2,-1
"1564","2011",133,45,24,0,2,2,11,23,22,1,14.4477973002595,NA,1,0,0,0,2,-1
"1565","2012",133,46,25,0,2,2,12,24,23,1,16.4780947375879,NA,1,0,0,0,2,-1
"1566","2013",133,47,26,0,2,2,13,25,24,1,13.5005106587845,NA,1,0,0,0,2,-1
"1567","2014",133,48,27,0,1,2,14,26,25,1,13.816403081914,NA,1,0,0,0,2,-1
"1568","2015",133,49,28,0,1,2,15,27,26,1,15.4807947888191,NA,1,0,0,0,2,-1
"1569","2016",133,50,29,0,1,2,16,28,27,1,42.5560215880066,NA,1,0,0,0,1,-1
"1570","2017",133,51,30,0,1,2,17,29,27,2,15.4781929341329,NA,1,0,1,0,2,-1
"1571","2018",133,52,31,0,0,2,NA,30,28,2,19.0174957958888,NA,0,0,0,0,2,-1
"1572","2001",134,35,14,1,2,2,6,13,13,0,34.3331885505799,NA,1,0,0,0,2,-1
"1573","2002",134,36,15,1,2,2,7,14,14,0,35.8659092455403,NA,1,0,1,0,2,-1
"1574","2003",134,37,16,1,2,2,8,15,15,0,35.3247073578595,NA,0,0,0,0,2,-1
"1575","2004",134,38,17,1,2,2,9,16,16,0,43.5881111381696,NA,0,0,0,0,2,-1
"1576","2005",134,39,18,1,2,2,10,17,17,0,42.9430068139746,NA,0,0,0,0,2,-1
"1577","2006",134,40,19,1,2,2,11,18,18,0,45.9042477209606,NA,0,0,0,0,2,-1
"1578","2007",134,41,20,1,2,2,12,19,19,0,36.3247863247863,NA,0,0,0,0,2,-1
"1579","2008",134,42,21,1,2,2,13,20,20,0,65.638699078214,NA,0,0,0,0,2,-1
"1580","2009",134,43,22,1,1,2,14,21,21,0,53.7520693041652,NA,0,0,0,0,2,-1
"1581","2010",134,44,23,1,1,2,15,22,22,0,53.5699996948242,NA,0,0,0,0,2,-1
"1582","2011",134,45,24,1,1,2,16,23,23,0,48.8922781800331,NA,0,0,0,0,2,-1
"1583","2012",134,46,25,1,1,2,17,24,24,0,107.083869787538,NA,0,0,0,0,2,-1
"1584","2013",134,47,26,1,0,2,NA,25,25,0,46.8017702837863,NA,0,0,0,0,2,-1
"1585","2014",134,48,27,1,0,2,NA,26,26,0,49.3429805921135,NA,0,0,0,0,2,-1
"1586","2015",134,49,28,1,0,2,NA,27,27,0,40.8889563945952,NA,0,0,0,0,2,-1
"1587","2016",134,50,29,1,0,2,NA,28,28,0,49.7425741749199,NA,0,0,0,0,2,-1
"1588","2017",134,51,30,1,0,2,NA,29,29,0,50.894742292629,NA,0,0,0,0,2,-1
"1589","2018",134,52,31,1,0,2,NA,30,30,0,50.8522648092421,NA,0,0,0,0,2,-1
"1590","2003",135,37,16,0,2,2,3,14,14,0,22.7901337792642,NA,1,0,0,0,2,-1
"1591","2004",135,38,17,0,2,2,4,15,15,0,25.3956167284277,NA,1,0,1,0,2,-1
"1592","2005",135,39,18,0,2,2,5,16,16,0,10.4673579109063,NA,0,0,0,0,1,-1
"1593","2006",135,40,19,0,2,2,6,17,16,1,17.0031764793018,NA,0,0,0,0,2,-1
"1594","2007",135,41,20,0,2,2,7,18,17,1,15.3846153846154,NA,0,0,0,0,2,-1
"1595","2008",135,42,21,0,2,2,8,19,18,1,17.237628922115,NA,0,0,0,0,2,-1
"1596","2009",135,43,22,0,2,2,9,20,19,1,16.1256207912496,NA,0,0,0,0,2,-1
"1597","2010",135,44,23,0,2,2,10,21,20,1,17.6299991607666,NA,0,0,0,0,2,-1
"1598","2011",135,45,24,0,2,2,11,22,21,1,15.8459712325427,NA,0,0,0,0,2,-1
"1599","2012",135,46,25,0,2,2,12,23,22,1,22.7749104078586,NA,0,0,0,0,2,-1
"1600","2000",136,34,13,0,3,3,6,11,11,0,9.73780866711536,NA,1,0,1,0,2,-1
"1601","2001",136,35,14,0,3,3,7,12,12,0,NA,NA,0,0,0,0,1,-1
"1602","2002",136,36,15,0,3,3,8,13,12,1,12.5573100896966,NA,0,0,0,0,1,-1
"1603","2005",137,39,18,0,1,2,17,16,16,0,NA,NA,1,0,0,0,2,-1
"1604","2006",137,40,19,0,0,2,NA,17,17,0,12.7415655841903,NA,1,0,0,0,2,-1
"1605","2007",137,41,20,0,0,2,NA,18,18,0,14.4230769230769,30000,1,0,0,0,2,-1
"1606","2008",137,42,21,0,0,2,NA,19,19,0,13.8549214202562,30383.5989280224,1,0,0,0,2,-1
"1607","2009",137,43,22,0,0,2,NA,20,20,0,17.1029311422344,50820.1382512108,1,0,0,0,2,-1
"1608","2010",137,44,23,0,0,2,NA,21,21,0,17.1599998474121,55000,1,0,0,0,2,-1
"1609","2011",137,45,24,0,0,2,NA,22,22,0,14.4477973002595,43623.0266872352,1,0,0,0,2,-1
"1610","2012",137,46,25,0,0,2,NA,23,23,0,14.436140136106,42738.5733076648,1,0,0,0,2,-1
"1611","2013",137,47,26,0,0,2,NA,24,24,0,15.7505957685819,40249.5224440562,1,0,0,0,2,-1
"1612","2014",137,48,27,0,0,2,NA,25,25,0,16.0638718084891,41449.2092457421,1,0,0,0,1,-1
"1613","2005",138,39,18,0,0,0,NA,16,16,0,8.53808017830788,5359.28725038402,0,0,0,0,2,-1
"1614","2006",138,40,19,0,0,0,NA,17,17,0,7.79853059681635,25850.8849206349,0,1,0,0,2,-1
"1615","2007",138,41,20,0,0,0,NA,18,18,0,NA,26000,1,0,0,0,0,-1
"1616","2008",138,42,21,0,0,0,NA,18,18,0,NA,42537.0384992313,1,0,0,0,0,-1
"1617","2009",138,43,22,0,0,0,NA,18,18,0,NA,38623.3050709202,1,0,0,0,0,-1
"1618","2010",138,44,23,0,0,0,NA,18,18,0,NA,42000,1,0,0,0,0,-1
"1619","2011",138,45,24,0,0,0,NA,18,18,0,7.95405614809987,NA,1,0,0,0,1,-1
"1620","2012",138,46,25,0,0,0,NA,19,18,1,4.24536474929672,NA,1,0,1,0,1,-1
"1621","2005",139,39,18,0,0,0,NA,16,15,1,NA,NA,1,0,1,0,0,-1
"1622","2006",139,40,19,0,0,0,NA,16,15,1,5.81915329838556,NA,0,0,0,0,1,-1
"1623","2007",139,41,20,0,0,0,NA,17,15,2,NA,NA,0,0,0,0,0,-1
"1624","2008",139,42,21,0,0,0,NA,17,15,2,5.73237217654791,8915.5607121127,0,0,0,0,0,-1
"1625","2009",139,43,22,0,0,0,NA,17,15,2,8.13122212019372,3049.20829507264,0,0,0,0,1,-1
"1626","2010",139,44,23,0,0,0,NA,18,15,3,6.07000017166138,8000,0,1,0,0,2,-1
"1627","2011",139,45,24,0,0,0,NA,19,16,3,12.1175074131209,2908.20177914901,1,0,0,0,2,-1
"1628","2012",139,46,25,0,0,0,NA,20,17,3,14.9015154947432,23743.6518375916,1,0,0,0,2,-1
"1629","2013",139,47,26,0,0,0,NA,21,18,3,12.9154885302372,17784.6727078388,1,0,0,0,2,-1
"1630","2014",139,48,27,0,0,0,NA,22,19,3,12.4992390403428,20540.3859151122,1,0,0,0,2,-1
"1631","2015",139,49,28,0,0,0,NA,23,20,3,12.3846358310553,26680.0440474734,1,0,0,0,2,-1
"1632","2016",139,50,29,0,0,0,NA,24,21,3,13.6281025136767,23622.0443570396,1,0,0,0,2,-1
"1633","2017",139,51,30,0,0,0,NA,25,22,3,13.685981120707,NA,1,0,1,0,2,-1
"1634","2018",139,52,31,0,0,0,NA,26,23,3,13.8940610974604,NA,0,0,0,0,2,-1
"1635","2001",140,35,14,0,3,3,9,9,9,0,7.69536984754376,NA,0,0,0,0,2,-1
"1636","2002",140,36,15,0,3,3,10,10,10,0,5.38170457185806,NA,0,1,0,0,1,-1
"1637","2003",140,37,16,0,2,3,11,11,10,1,NA,61624.5217391304,1,0,0,0,1,-1
"1638","2004",140,38,17,0,1,3,12,12,10,2,5.94488311696898,55408.6183165696,1,0,0,0,1,-1
"1639","2005",140,39,18,0,1,3,13,13,10,3,NA,NA,1,0,0,0,2,-1
"1640","2006",140,40,19,0,1,3,14,14,11,3,6.59792450002262,42271.0641666667,1,0,0,0,2,-1
"1641","2007",140,41,20,0,1,3,15,15,12,3,3.84615384615385,12000,1,0,0,0,1,-1
"1642","2008",140,42,21,0,1,3,16,16,12,4,4.8613760216573,86593.2569448638,1,0,0,0,1,-1
"1643","2009",140,43,22,0,1,3,17,17,12,5,3.25770116994941,10164.0276502421,1,0,0,0,1,-1
"1644","2010",140,44,23,0,0,3,NA,18,12,6,9.57999992370605,8000,1,0,0,0,1,-1
"1645","2011",140,45,24,0,0,3,NA,19,12,7,2.57819306662147,7755.20474439737,1,0,0,0,2,-1
"1646","2012",140,46,25,0,0,3,NA,20,13,7,2.3268779253714,10447.2068085403,1,0,0,0,2,-1
"1647","2013",140,47,26,0,0,3,NA,21,14,7,2.08007867927939,NA,1,0,0,0,1,-1
"1648","2014",140,48,27,0,0,3,NA,22,14,8,6.67792815625845,NA,1,0,1,0,1,-1
"1649","2015",140,49,28,0,0,3,NA,23,14,9,7.07693476060302,NA,0,0,0,0,1,-1
"1650","2016",140,50,29,0,0,3,NA,24,14,10,4.88794620554621,NA,0,0,0,0,1,-1
"1651","2017",140,51,30,0,0,3,NA,25,14,11,4.27686910022093,NA,0,0,0,0,2,-1
"1652","2018",140,52,31,0,0,3,NA,26,15,11,3.15221521086441,NA,0,0,0,0,1,-1
"1653","2001",141,35,14,0,0,0,NA,10,8,2,7.69536984754376,13543.850931677,0,1,0,0,2,-1
"1654","2002",141,36,15,0,0,0,NA,11,9,2,10.9815867231792,18181.4341300723,1,0,0,0,2,-1
"1655","2003",141,37,16,0,0,0,NA,12,10,2,7.97654682274247,13035.9565217391,1,0,0,0,2,-1
"1656","2004",141,38,17,0,0,0,NA,13,11,2,6.18729586613879,11543.4621492853,1,0,0,0,2,-1
"1657","2005",141,39,18,0,0,0,NA,14,12,2,8.72279825908858,13398.2181259601,1,0,0,0,1,-1
"1658","2006",141,40,19,0,0,0,NA,15,12,3,11.4436134095419,13001.1563492064,1,0,0,0,1,-1
"1659","2007",141,41,20,0,0,0,NA,16,12,4,NA,700,1,0,0,0,0,-1
"1660","2008",141,42,21,0,0,0,NA,16,12,4,NA,15191.7994640112,1,0,0,0,0,-1
"1661","2009",141,43,22,0,0,0,NA,16,12,4,NA,27442.8746556538,1,0,0,0,0,-1
"1662","2010",141,44,23,0,0,0,NA,16,12,4,NA,27000,1,0,0,0,0,-1
"1663","2011",141,45,24,0,0,0,NA,16,12,4,NA,26173.8160123411,1,0,0,0,0,-1
"1664","2012",141,46,25,0,0,0,NA,16,12,4,NA,26592.8900581026,1,0,0,0,0,-1
"1665","2013",141,47,26,0,0,0,NA,16,12,4,NA,26208.9913589203,1,0,0,0,0,-1
"1666","2014",141,48,27,0,0,0,NA,16,12,4,NA,25790.6190862395,1,0,0,0,0,-1
"1667","2015",141,49,28,0,0,0,NA,16,12,4,NA,14720.0243020543,1,0,0,0,0,-1
"1668","2016",141,50,29,0,0,0,NA,16,12,4,NA,15245.3040119663,1,0,0,0,0,-1
"1669","2017",141,51,30,0,0,0,NA,16,12,4,NA,177.917754569191,1,0,0,0,0,-1
"1670","2018",141,52,31,0,0,0,NA,16,12,4,NA,NA,1,0,0,0,0,-1
"1671","2003",142,37,16,0,2,2,1,14,14,0,16.5228469899666,NA,1,0,1,0,2,-1
"1672","2004",142,38,17,0,2,2,2,15,15,0,19.0813437253953,NA,0,0,0,0,2,-1
"1673","2005",142,39,18,0,2,2,3,16,16,0,15.5668399700658,NA,0,0,0,0,2,-1
"1674","2006",142,40,19,0,2,2,4,17,17,0,15.7160397905395,NA,0,0,0,0,2,-1
"1675","2007",142,41,20,0,2,2,5,18,18,0,15.8653846153846,NA,0,0,0,0,2,-1
"1676","2008",142,42,21,0,2,2,6,19,19,0,18.6048912602234,NA,0,0,0,0,2,-1
"1677","2009",142,43,22,0,2,2,7,20,20,0,17.1029311422344,NA,0,0,0,0,2,-1
"1678","2010",142,44,23,0,2,2,8,21,21,0,21.7099990844727,NA,0,0,0,0,2,-1
"1679","2011",142,45,24,0,2,2,9,22,22,0,16.7780871873982,NA,0,0,0,0,2,-1
"1680","2012",142,46,25,0,2,2,10,23,23,0,20.3340632887937,NA,0,0,0,0,2,-1
"1681","2013",142,47,26,0,1,2,11,24,24,0,14.850561724663,4680.17702837863,0,1,0,0,2,-1
"1682","2014",142,48,27,0,1,2,12,25,25,0,15.1980433901054,NA,1,0,0,0,2,-1
"1683","2015",142,49,28,0,1,2,13,26,26,0,14.5961779437437,NA,1,0,0,0,2,-1
"1684","2016",142,50,29,0,1,2,14,27,27,0,15.0726815187586,8721.98560875308,1,0,0,0,2,-1
"1685","2017",142,51,30,0,1,2,15,28,28,0,16.2521025808395,NA,1,0,0,0,2,-1
"1686","2018",142,52,31,0,1,2,16,29,29,0,17.4544145849449,NA,1,0,0,0,2,-1
"1687","2001",143,35,14,0,2,3,13,4,0,4,10.0631759544803,NA,1,0,0,0,2,-1
"1688","2002",143,36,15,0,2,3,14,5,1,4,12.4361012223961,14545.1473040578,1,0,0,0,2,-1
"1689","2003",143,37,16,0,2,3,15,6,2,4,11.6482905982906,5925.4347826087,1,0,0,0,2,-1
"1690","2004",143,38,17,0,1,3,16,7,3,4,9.13087838394545,16160.8470089995,1,0,0,0,2,-1
"1691","2005",143,39,18,0,1,3,17,8,4,4,6.20287876201855,12281.6999487967,1,0,0,0,2,-1
"1692","2006",143,40,19,0,0,3,NA,9,5,4,8.82607602543301,21632.5396825397,1,0,0,0,1,-1
"1693","2007",143,41,20,0,0,3,NA,10,5,5,11.3866396761134,18000,1,0,0,0,2,-1
"1694","2008",143,42,21,0,0,3,NA,11,6,5,13.885304748741,8102.29304747263,1,0,0,0,2,-1
"1695","2009",143,43,22,0,0,3,NA,12,7,5,11.1804304152664,14229.638710339,1,0,0,0,2,-1
"1696","2010",143,44,23,0,0,3,NA,13,8,5,17.3099994659424,26000,1,0,0,0,2,-1
"1697","2011",143,45,24,0,0,3,NA,14,9,5,11.1853914582654,29082.0177914901,1,0,0,0,2,-1
"1698","2012",143,46,25,0,0,3,NA,15,10,5,14.3031762654945,34190.8586461319,1,0,0,0,2,-1
"1699","2013",143,47,26,0,0,3,NA,16,11,5,9.90037448310864,28081.0621702718,1,0,0,0,2,-1
"1700","2014",143,48,27,0,0,3,NA,17,12,5,12.8400435442859,29474.9932414166,1,0,0,0,2,-1
"1701","2015",143,49,28,0,0,3,NA,18,13,5,15.0384863662814,31280.0516418654,1,0,0,0,2,-1
"1702","2016",143,50,29,0,0,3,NA,19,14,5,18.4978783664261,15445.1828488336,1,0,0,0,2,-1
"1703","2017",143,51,30,0,0,3,NA,20,15,5,11.3031540505839,NA,1,0,0,0,2,-1
"1704","2018",143,52,31,0,0,3,NA,21,16,5,17.8104497680632,NA,1,0,0,0,2,-1
"1705","2007",145,41,20,1,3,3,5,15,15,0,NA,NA,1,0,0,0,0,-1
"1706","2008",145,42,21,1,3,3,6,15,15,0,42.8104913532004,NA,1,0,1,0,1,-1
"1707","2009",145,43,22,1,3,3,7,16,15,1,36.6491381619308,NA,0,0,0,0,2,-1
"1708","2010",145,44,23,1,3,3,8,17,16,1,49.1100006103516,NA,0,0,0,0,1,-1
"1709","2011",145,45,24,1,3,3,9,18,16,2,55.9269572913272,NA,0,0,0,0,2,-1
"1710","2012",145,46,25,1,2,3,10,19,17,2,49.9091554380187,NA,0,0,0,0,2,-1
"1711","2013",145,47,26,1,2,3,11,20,18,2,54.002042635138,NA,0,0,0,0,2,-1
"1712","2014",145,48,27,1,1,3,12,21,19,2,64.4765477155988,NA,0,0,0,0,2,-1
"1713","2015",145,49,28,1,1,3,13,22,20,2,NA,92000.1518878393,0,0,0,0,2,-1
"1714","2016",145,50,29,1,1,3,14,23,21,2,53.4403323796997,9085.40167578446,0,0,0,0,2,-1
"1715","2017",145,51,30,1,1,3,15,24,22,2,72.7067747037558,NA,0,0,0,0,2,-1
"1716","2018",145,52,31,1,1,3,16,25,23,2,78.154093673215,NA,0,0,0,0,2,-1
"1717","2003",146,37,16,1,1,1,10,15,15,0,25.5249498327759,106657.826086957,0,0,0,0,2,-1
"1718","2004",146,38,17,1,1,1,11,16,16,0,42.0643744867425,126978.083642139,0,1,0,0,2,-1
"1719","2005",146,39,18,1,1,1,12,17,17,0,51.5316081767695,106069.226830517,1,0,0,0,2,-1
"1720","2006",146,40,19,1,1,1,13,18,18,0,70.2841250595214,97346.4285714286,1,0,0,0,1,-1
"1721","2007",146,41,20,1,1,1,14,19,18,1,46.7032967032967,87000,1,0,0,0,2,-1
"1722","2008",146,42,21,1,1,1,15,20,19,1,56.6147742146048,90138.010153133,1,0,0,0,2,-1
"1723","2009",146,43,22,1,1,1,16,21,20,1,53.0539904820332,91476.2488521794,1,0,0,0,2,-1
"1724","2010",146,44,23,1,1,1,17,22,21,1,72.0699996948242,87000,1,0,0,0,1,-1
"1725","2011",146,45,24,1,0,1,NA,23,21,2,37.2846381942181,77552.0474439737,1,0,0,0,2,-1
"1726","2012",146,46,25,1,0,1,NA,24,22,2,36.6791923442732,84527.400541826,1,0,0,0,2,-1
"1727","2013",146,47,26,1,0,1,NA,25,23,2,22.080835210812,93603.5405675726,1,0,0,0,2,-1
